text,label
Click here to reset your password and secure your account.,phishing
Thank you for your purchase. Your receipt and order details are attached.,legitimate
Verify your email address to continue using our services.,phishing
Immediate action required: Confirm your banking information.,phishing
Thank you for your purchase. Your receipt and order details are attached.,legitimate
Verify your email address to continue using our services.,phishing
Your order has been shipped and will arrive within 3-5 business days.,legitimate
Your PayPal account has been locked due to suspicious activity.,phishing
Congratulations! You have won a free iPhone. Claim now!,phishing
Your password has been successfully changed.,legitimate
Security alert! Update your information to prevent account suspension.,phishing
Your password has been successfully changed.,legitimate
Reminder: Your appointment is scheduled for next week.,legitimate
Immediate action required: Confirm your banking information!!!!,phishing
Your profile has been updated successfully.,legitimate
Immediate action required: Confirm your banking information.,phishing
Urgent: Your bank details need to be updated immediately!,phishing
Your profile has been updated successfully.,legitimate
Immediate action required: Confirm your banking information.,phishing
Click here to reset your password and secure your account.,phishing
Your PayPal account has been locked due to suspicious activity.,phishing
New features have been added to your account. Explore now!!@,legitimate
Your order has been shipped and will arrive within 3-5 business days.,legitimate
Congratulations! You have won a free iPhone. Claim now!,phishing
We detected unauthorized access. Confirm your credentials now.,phishing
Check out our latest blog post on cybersecurity tips.,legitimate
Reminder: Your appointment is scheduled for next week.,legitimate
Security alert! Update your information to prevent account suspension.,phishing
Your PayPal account has been locked due to suspicious activity.,phishing
Thank you for your purchase. Your receipt and order details are attached.,legitimate
Your password has been successfully changed.,legitimate
Welcome to our website. Here are the latest articles and updates.,legitimate
Security alert! Update your information to prevent account suspension.,phishing
Your PayPal account has been locked due to suspicious activity.,phishing
Security alert! Update your information to prevent account suspension.,phishing
We detected unauthorized access. Confirm your credentials now.,phishing
Verify your email address to continue using our services.,phishing
Click here to reset your password and secure your account.,phishing
Your profile has been updated successfully.,legitimate
Thank you for your purchase. Your receipt and order details are attached.,legitimate
New features have been added to your account. Explore now!,legitimate
Your account has been compromised. Click here to verify your identity.,phishing
Click here to reset your password and secure your account.,phishing
Your profile has been updated successfully.,legitimate
New features have been added to your account. Explore now!,legitimate
Urgent: Your bank details need to be updated immediately!,phishing
Check out our latest blog post on cybersecurity tips.,legitimate
Security alert! Update your information to prevent account suspension.,phishing
Reminder: Your appointment is scheduled for next week.,legitimate
Security alert! Update your information to prevent account suspension.,phishing
Check out our latest blog post on cybersecurity tips.,legitimate
Congratulations! You have won a free iPhone. Claim now!,phishing
Your order has been shipped and will arrive within 3-5 business days.,legitimate
Urgent: Your bank details need to be updated immediately!,phishing
This is a confirmation email for your recent subscription.,legitimate
Your order has been shipped and will arrive within 3-5 business days.,legitimate
This is a confirmation email for your recent subscription.,legitimate
This is a confirmation email for your recent subscription.,legitimate
New features have been added to your account. Explore now!,legitimate
Your account has been compromised. Click here to verify your identity.,phishing
